CellType	gene
CD4+_T_Effector_Memory	HLA-DRB1
B_Memory	HLA-DRB1
B_Memory	HLA-DQA1
Proliferating_Lymphocyte	HLA-DRB1
Proliferating_Lymphocyte	LTB
Proliferating_Lymphocyte	AIF1
Proliferating_Lymphocyte	RPS18
Proliferating_Lymphocyte	B3GALT4
Proliferating_Lymphocyte	ZBTB22
Proliferating_Lymphocyte	MED19
B_Naive	HLA-DRB1
B_Naive	HLA-DQA1
B_Naive	HLA-DPA1
B_Naive	DTX4
CD56dim_NK	DDAH2
CD56dim_NK	ITPRIP
CD16+_Monocyte	SAPCD1
CD16+_Monocyte	HSD17B8
CD8+_T_Effector_Memory	LTB
CD8+_T_Effector_Memory	LST1
CD8+_T_Effector_Memory	NCR3
Plasmacytoid_DC	HLA-DRB1
Plasmacytoid_DC	HLA-DQB1
Plasmacytoid_DC	HLA-DQA1
Plasmacytoid_DC	HLA-DPA1
Plasmacytoid_DC	RPS18
CD14+_Monocyte	HLA-DRB1
CD14+_Monocyte	ZBTB22
CD14+_Monocyte	MICB
CD14+_Monocyte	SAPCD1
CD14+_Monocyte	LSM2
CD14+_Monocyte	NELFE
CD14+_Monocyte	RNF5
CD14+_Monocyte	PBX2
CD14+_Monocyte	NOTCH4
CD14+_Monocyte	HLA-DMB
CD14+_Monocyte	DAXX
Classical_DC	HLA-DRB1
Classical_DC	HLA-DQA1
Classical_DC	HLA-DQB1
