gene_eQTL	Cell_Type_eQTL	ESF
ABCF1	B_Memory	0.9966887417218544
ABHD16A	B_Memory	0.9966887417218544
AGER	B_Memory	0.9602649006622516
AGPAT1	B_Memory	1.0
AIF1	B_Memory	0.97682119205298
APOM	B_Memory	0.9933774834437086
ATAT1	B_Memory	0.9635761589403974
ATF6B	B_Memory	1.0
ATP6V1G2	B_Memory	0.7218543046357616
B3GALT4	B_Memory	0.9933774834437086
BAK1	B_Memory	0.9966887417218544
BRD2	B_Memory	1.0
C2	B_Memory	0.2086092715231788
C4A	B_Memory	0.0463576158940397
C4B	B_Memory	0.0198675496688741
C6orf136	B_Memory	0.9966887417218544
CFB	B_Memory	0.1059602649006622
CLIC1	B_Memory	1.0
COL11A2	B_Memory	0.1324503311258278
CTNND1	B_Memory	0.9503311258278144
CUTA	B_Memory	1.0
CYP21A2	B_Memory	0.0529801324503311
DAXX	B_Memory	1.0
DDAH2	B_Memory	1.0
DDR1	B_Memory	0.9039735099337748
DHX16	B_Memory	1.0
DTX4	B_Memory	0.9933774834437086
DXO	B_Memory	1.0
EGFL8	B_Memory	0.2185430463576159
EHMT2	B_Memory	1.0
FAM111A	B_Memory	1.0
FKBPL	B_Memory	0.6986754966887417
FLOT1	B_Memory	0.9966887417218544
GABBR1	B_Memory	0.9966887417218544
GLYAT	B_Memory	0.0
GNL1	B_Memory	1.0
GPANK1	B_Memory	0.9933774834437086
GPSM3	B_Memory	1.0
GSTO2	B_Memory	0.4602649006622517
GTF2H4	B_Memory	0.9834437086092715
HLA-A	B_Memory	1.0
HLA-DMA	B_Memory	1.0
HLA-DMB	B_Memory	1.0
HLA-DOA	B_Memory	1.0
HLA-DOB	B_Memory	1.0
HLA-DPA1	B_Memory	1.0
HLA-DPB1	B_Memory	1.0
HLA-DQA1	B_Memory	1.0
HLA-DQA2	B_Memory	0.9403973509933776
HLA-DQB1	B_Memory	1.0
HLA-DQB2	B_Memory	0.8774834437086093
HLA-DRA	B_Memory	1.0
HLA-DRB1	B_Memory	1.0
HLA-DRB5	B_Memory	1.0
HLA-G	B_Memory	0.933774834437086
HSD17B8	B_Memory	0.9900662251655628
HSPA1A	B_Memory	0.9966887417218544
HSPA1B	B_Memory	1.0
HSPA1L	B_Memory	0.5894039735099338
IER3	B_Memory	0.956953642384106
ITPR3	B_Memory	1.0
ITPRIP	B_Memory	0.9933774834437086
KIFC1	B_Memory	0.3874172185430463
LPXN	B_Memory	1.0
LSM2	B_Memory	1.0
LST1	B_Memory	1.0
LTB	B_Memory	1.0
LY6G5B	B_Memory	0.8940397350993378
LY6G5C	B_Memory	0.4039735099337748
LY6G6C	B_Memory	0.0529801324503311
LY6G6D	B_Memory	0.0033112582781456
LY6G6E	B_Memory	0.0
MED19	B_Memory	0.9966887417218544
MICB	B_Memory	0.9933774834437086
MSH5	B_Memory	0.9966887417218544
NCR3	B_Memory	1.0
NELFE	B_Memory	1.0
NEU1	B_Memory	0.9966887417218544
NOTCH4	B_Memory	0.9039735099337748
NRM	B_Memory	0.9966887417218544
PACRG	B_Memory	0.2317880794701986
PBX2	B_Memory	0.9966887417218544
PHF1	B_Memory	1.0
PPP1R10	B_Memory	1.0
PPT2	B_Memory	0.6258278145695364
PRR3	B_Memory	0.9900662251655628
PRRT1	B_Memory	0.0496688741721854
PSMB8	B_Memory	1.0
PSMB9	B_Memory	1.0
QKI	B_Memory	1.0
RGL2	B_Memory	1.0
RING1	B_Memory	1.0
RNF39	B_Memory	0.0529801324503311
RNF5	B_Memory	1.0
RPS18	B_Memory	1.0
RXRB	B_Memory	1.0
SAPCD1	B_Memory	0.7748344370860927
SFR1	B_Memory	0.9867549668874172
SFTA2	B_Memory	0.1092715231788079
SKIV2L	B_Memory	1.0
SLC39A7	B_Memory	0.9933774834437086
SLC44A4	B_Memory	0.0629139072847682
SORCS3	B_Memory	0.0463576158940397
STK19	B_Memory	0.9900662251655628
SYNGAP1	B_Memory	0.9801324503311258
TAP2	B_Memory	1.0
TAPBP	B_Memory	1.0
TRIM15	B_Memory	0.0033112582781456
TUBB	B_Memory	1.0
VPS52	B_Memory	0.9966887417218544
WDR46	B_Memory	0.9933774834437086
ZBTB12	B_Memory	0.6357615894039735
ZBTB22	B_Memory	0.9966887417218544
ZBTB9	B_Memory	0.7913907284768212
ZNF311	B_Memory	0.0132450331125827
ZNRD1	B_Memory	0.9966887417218544
ABCF1	CD56bright_NK	0.9900662251655628
